Stock List
-----------
17/01/2014 11:07:14
Book 1	 Harry Potter Author:Rawlinson
Book 2	 Harry Potter Author:Rawlinson
Book 3	 Harry Potter Author:Rawlinson
Book 4	 Harry Potter Author:Rawlinson
Book 5	 Harry Potter Author:Rawlinson
Book 6	 Where Eagles Dare Author:Hawkins Loaned to Jenny Return due: 31/01/2014
Book 7	 Where Eagles Dare Author:Hawkins
Book 8	 Where Eagles Dare Author:Hawkins
Book 9	 Where Eagles Dare Author:Hawkins
Journal 10	 Nature volume2
Journal 11	 Nature volume2
Journal 12	 New Scientist volume4 Loaned to Jenny Return due: 19/01/2014
Journal 13	 New Scientist volume4
